web-scraper-order,web-scraper-start-url,title,pagination,pagination-href
"1554519873-2290","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Critical realism and affordances: Theorizing IT-associated organizational change processes","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519866-2270","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Methodological implications of critical realism for mixed-methods research","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519862-2265","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Assessing Representation Theory with a Framework for Pursuing Success and Failure.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519877-2302","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Is Oprah Contagious? The Depth of Diffusion of Demand Shocks in a Product Network.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=50&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519862-2263","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","The Future of the CIO in a Digital Economy.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519873-2291","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","THE ROLE OF VENTURE CAPITAL IN THE FORMATION OF A NEW TECHNOLOGICAL ECOSYSTEM: EVIDENCE FROM THE CLOUD.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519866-2276","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Ready to Acquire': IT Resources for a Growth-by-Acquisition Strategy","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519873-2292","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Impact of Wikipedia on market information environment: Evidence on management disclosure and investor reaction","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519877-2299","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Five Principles of Industrialized Transformation for Successfully Building an Operational Backbone","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=50&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519877-2301","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Efficiency or Innovation: How Do Industry Environments Moderate the Effects of Firms' IT Asset Portfolios","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=50&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
