web-scraper-order,web-scraper-start-url,title,pagination,pagination-href
"1554947734-20","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Giving too much social support: social overload on social networking sites","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947730-8","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Information system integration in mergers and acquisitions: research ahead","",""
"1554947734-11","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Mobile technology in mobile work: contradictions and congruencies in activity systems","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947747-37","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Assessing the long-term fragmentation of information systems research with a longitudinal multi-network analysis","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947734-13","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Leveraging the IT competence of non-IS workers: social exchange and the good corporate citizen","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947734-15","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","An organizational perspective on m-business: usage factors and value determination","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947730-7","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Information quality, user satisfaction, and the manifestation of workarounds: a qualitative and quantitative study of enterprise content management system users","",""
"1554947734-16","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Top management support in multiple-project environments: an in-practice view","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947730-2","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Governing IT in inter-organizational relationships: Issues and future research","",""
"1554947740-21","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","ERP prototype with built-in task and process support","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947734-18","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Variable use of standards-based IOS enabling technologies in Australian SMEs: an examination of deliberate and emergent decision making processes","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947740-26","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Design matters for decision makers: Discovering IT investment alternatives","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
