web-scraper-order,web-scraper-start-url,title,pagination,pagination-href
"1554519756-2209","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Understanding differences between adopters and nonadopters of information technology project portfolio management","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=90&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519745-2177","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","A Debate over the Teaching of a Legacy Programming Language in an Information Technology (IT) Program.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=60&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519725-2127","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Infosys: Meeting The Knowledge Management Challenge","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519729-2139","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","A field study of spatial preferences in enterprise microblogging","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519721-2126","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Exploring determinants of cloud-based enterprise resource planning (ERP) selection and adoption: A qualitative study in the Indian education sector","",""
"1554519725-2134","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Generative innovation: a comparison of lightweight and heavyweight IT","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519756-2214","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","When the river leaves its bed: analyzing deviations between planned and actual interaction structures in IT change processes","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=90&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519752-2204","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","A journey through the wilderness: an autoethnographic study of the ERP system implementation process as created by IT project managers and team members","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=80&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519721-2119","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Exploring the Potential of E-Commerce in the Digital Age: Challenges and Opportunities for Commerce Education.","",""
"1554519733-2152","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Robotic process automation: strategic transformation lever for global business services?","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
